"palabra","significado","ejemplo"
"budare","plancha muy delgada, de hierro, de arcilla o de piedra, destinada para cocer las arepas y otros comestibles",""
"buitrón","conducto por el que sale el humo de una chimenea o estufa",""
"buitrón","cenicero de los hornos de cocer el pan, calentados con leña",""
"bullaranga","bulla, gritería",""
"bulteador","hombre que trabaja llevando a cuestas bultos u otras cargas",""
"burletero","que le gusta burlarse de los demás",""
"burriador","juguete infantil que consiste en una hoja de lata de forma circular y dentada, con dos hoyos equidistantes del centro por los cuales pasa una cuerda delgada que atorzalada y luego estirada y aflojada rítmicamente, zumba",""
"burro","balancín para juegos infantiles",""
"busaca","bolsa, talega",""
"busaca","tronera de la mesa de billar",""
"buscaniguas","cohete pequeño, sin vara, que se lanza a ras de piso",""
"buscarle el pierde","a alguien o a algo . señalar características negativas de una persona o cosa para obtener algún propósito",""
"buseta","autobús pequeño de servicio público",""
"buzo","suéter de cuello cerrado y alto",""
"buñuelo","especie de pan redondo elaborado con harina de maíz, huevos y se frita en aceite",""
"buñuelo","dicho de una persona, inexperta, torpe para hacer algo",""
"caballo","persona torpe, ignorante","usted si es mucho caballo"
"cabalmente","justamente","cabalmente acabo de verlo"
"cabecipelado","a . dicho de una persona, calva",""
"cabecipelado","que lleva el cabello rapado. se me vuelve cuesta arriba convencerme que ese demontres de cabecipelao [ .] vaya a resultar a estas horas con esa indecencia",""
"cabellar","empezar a salir la mazorca de maíz",""
"cabezal","lazo que se coloca alrededor del hocico y la cabeza de las bestias",""
"cabezazo","idea brillante, ingeniosa. tuvo un cabezazo que solucionó el problema",""
"cabinero","persona que en los aviones atiende a los pasajeros y a la tripulación",""
"cabrilla","timón, volante",""
"cabrón","stder. chivo viejo",""
"caca","expresión que se usa para referirse a una persona de manera despectiva. ¡ese tipo es una caca",""
"caca","expresión que se usa para apartar a los niños de algo sucio, peligroso o delicado. ¡caca niño, quítese de ahí",""
"cacao","persona sobresaliente en razón de su poder económico",""
"cachaco","bog. dicho de una persona, de finas maneras, bien educada. es muy cachaco, siempre atento con sus invitados",""
"cachaco","elegante en el vestir",""
"cachaco","dicho de una persona, que es del interior del país, especialmente de bogotá",""
"cachaco","variedad de plátano",""
"cachada","cornada de un animal",""
"cachama","pez comestible de río",""
"cachamenta","conjunto de cuernos de algunos animales",""
"cachapa","pan hecho a base de maíz tierno molido, preparado en forma de bollo, envuelto en la hoja de la mazorca y hervido o cocido",""
"cachapear","cambiar una marca hecha a una res con el hierro candente por otra, con el fin de robarla",""
"cachapla","arepa de maíz tierno adobada con queso y panela para acompañar el chocolate",""
"cachaquera","plantación o cultivo de cachaco",""
"cachar","pillar, sorprender","lo más chévere fue que mis papás no me cacharon"
"cachar","en el juego del béisbol, coger un jugador la bola cuando es lanzada por otro",""
"cachar","cornear",""
"cachar","jugar a los dados",""
"cacharrea","tratar de arreglar algún aparato sin ser muy experto en el oficio. estuvo cacharreando con la cicla",""
"cacharro","automóvil viejo y destartalado",""
"cacharro","acontecimiento",""
"cachaza","espuma que produce el caballo al tascar el freno",""
"cachaza","desfachatez, descaro","y como si fuera poco, tuvo la cachaza de volver"
"cachaza","espuma que se forma en los bordes de la gualdrapa de las caballerías cuando sudan profusamente",""
"cachencho","dicho de una persona, que por su edad se encuentra chocho",""
"cachetero","sinvergüenza, que le gusta aprovecharse de los demás",""
"cachicamo","armadillo",""
"cachifo","muchacho, adolescente","este cachifo puede comulgar perfectamente"
"cachilapo","vehículo pequeño, carpado, utilizado para transportar personas, animales y bultos de regular tamaño","yo más bien me voy en cachilapo"
"cachimona","tubo de lata con orificios, utilizado para echar los dados",""
"cachimonis","modalidad de pago en efectivo y de inmediato","él no acepta sino pago cachimonis"
"cachiporro","en la época de la violencia, a mediados del siglo xix, persona que pertenecía al partido liberal",""
"cacho","chasco, incidente molesto",""
"cacho","recipiente para los dados",""
"cacho","cuerno",""
"cachorrear","buscar peleas, pendencias",""
"cachorro","pendenciero, peleador","tu primo es un cachorro de primera"
"cachorro","enojado",""
"cachudo","dicho de un animal, que tiene los cuernos grandes",""
"cachumbo","crespo o rizo del pelo ensortijado",""
"cachón","dicho de una persona con respecto a su pareja, que le es infiel",""
"cacorrada","acción propia del cacorro",""
"cacorrada","trivialidad, tontería",""
"cacorro","homosexual que desempeña el papel activo",""
"caer como pedrada en ojo tuerto","dicho de algo, que ocurre de manera oportuna e inesperada",""
"caerse","perder la estima de alguien a causa de un comportamiento supuestamente indebido","la secretaria se cayó con el jefe de personal"
"caerse","en el lenguaje de la informática, suspenderse el funcionamiento del sistema",""
"cafetín","café o taberna de baja condición social y dudosa reputación",""
"cafongo","manjar compuesto de harina de maíz, panela, queso y pimienta, envuelto en hojas de bijao y cocido al vapor",""
"cafuche","persona que nunca da la cara sino que se esconde. il estar o ponerse como un ~ . estar con el ánimo muy alterado por la ira",""
"cafuche","contrabandista que produce ilegalmente aguardiente",""
"cafuche","saíno",""
"café","color carmelita, marrón",""
"cagón","niño de muy corta edad","el cagoncito ya camina"
"caimacán","persona de autoridad e influencia",""
"caimanear","realizar trabajos ocasionales",""
"caimán","individuo que substituye temporalmente a otro en su oficio o empleo",""
"caja de dientes","dentadura postiza",""
"cajuela","agujero cuadrado que se deja en las paredes de los edificios para colocar un palo horizontal del andamio",""
"calabazo","cabeza",""
"calabazo","tonto, bobo",""
"calado","variedad de pan duro y redondo",""
"calambombo","hueso de la pierna. juré por los huesos de mis antepasados [ .] y por cuanto calambombo hay esparcido sobre la faz de la tierra no volver a montarme en ninguno de esos aparatos. (arango villegas, en montes, algunos aspectos del habla popular en tres escritores caldenses, 27",""
"calanchín","persona que, de acuerdo con terceros, actúa o interviene para que se realice una venta u otro negocio, en ocasiones ilícitos","necesitamos a alguien que nos sirva de calanchín"
"calandraco","flojo, descuidado, perezoso",""
"calceto","dicho de una persona, que no cumple sus promesas. [ .] y si los paeces no lo han hecho, es porque el gobierno les salió calceto. (alfredo molano, en","el espectador"
"calceto","dicho de un ave doméstica como el gallo o la gallina, calzada, con plumas en las patas",""
"calentado","plato de alimentos del día anterior que ha sido recalentado y que se suele comer especialmente en el desayuno en picadillo",""
"calentano","variedad de bizcocho que suele acompañar la merienda",""
"calentano","dicho de una persona, nacida en regiones de clima cálido. no hace sino quejarse del frío, se nota que es un calentano",""
"calentano","perteneciente o relativo a estas regiones",""
"calentarse","enojarse, encolerizarse","se calentó porque no lo invitaron"
"calentura","rabia, ira. y además se calla usted la boca . me interrumpió con una calentura que se le veía en la cara. (arango villegas, bobadas mías, 173",""
"calibrar","medir y acondicionar la presión del aire en los neumáticos de los automóviles, bicicletas, etc",""
"caliente","disgustado, enojado",""
"calilla","cigarro largo, delgado y de mala clase",""
"calle","en los pueblos y ciudades, vía pública que, por lo general, va de este a oeste, a diferencia de la carrera",""
"calmado","tranquilo, lento en el obrar, pacífico",""
"calostra","calostro, primera leche que da la hembra después de parida",""
"calostre","calostro, primera leche que da la hembra después de parida",""
"calungo","dicho del perro o del cerdo, que no tiene pelo",""
"calzar","empastar una pieza dental",""
"camaján","individuo holgazán",""
"camandulero","dicho de una persona, que reza mucho",""
"camarico","obsequio de los campesinos al párroco",""
"cambulera","cárcel",""
"camellar","trabajar arduamente en algo","hoy me toca camellar todo el día"
"camello","empleo","mi primo está sin camello"
"camelludo","difícil",""
"camellón","vía pública, generalmente amplia y arborizada",""
"camilla","armazón de madera o guadua para el secamiento del café al sol",""
"caminado","modo de caminar",""
"caminarle","a alguien o a algo",""
"camionado","carga que puede llevar un camión",""
"campanero","entre delincuentes, persona que hace de vigilante mientras se comete un delito",""
"campero","vehículo automotor empleado especialmente para vías difíciles",""
"cana","cárcel",""
"canaguay","dicho del gallo de pelea, de color blanco y canela",""
"canar","encanecer",""
"canasta","enrejado metálico que se instala sobre la cubierta de un vehículo para poner en él toda clase de equipaje",""
"canastear","coquetear con las empleadas del servicio doméstico",""
"cancanear","gastar el dinero en forma ostentosa",""
"cancaniar","gastar el dinero en forma ostentosa",""
"cancha","afección de la piel causada por el zumo cáustico de algunas plantas",""
"canchero","hábil y con experiencia en determinada actividad",""
"canchoso","perro callejero y de mal aspecto",""
"candelear","embriagarse, achisparse",""
"candelear","acompañar a otro en coqueteos o amoríos",""
"candelero","persona que acompaña o vigila a una pareja de enamorados","solo, o con candelero, en la esquina, en el paseo, en cualquier parte donde pepa se hallase, siguió empalagando tres semanas mortales"
"candelilla","luciérnaga",""
"candidatizar","proponer a alguien para un cargo o dignidad",""
"candil","bebida caliente a base de leche, yema de huevo, azúcar, canela y vino",""
"candonga","adorno en forma de aro que suele llevar la mujer como aretes o pendientes",""
"caneca","envase de latón para petróleo y otros líquidos",""
"canela","fuerza, vigor, valentía",""
"canelazo","trago de aguardiente en agua caliente, con azúcar, limón y canela",""
"cangle","trozo de tallo",""
"canilla","espinilla, parte anterior de la pierna",""
"canillera","en el fútbol, almohadilla abullonada que se coloca en las dos piernas entre el tobillo y la rodilla",""
"canillero","puntapié dado o recibido en las canillas, especialmente en el juego de fútbol","me dieron dos canilleros que me dejaron cojo"
"canillón","dicho de una persona, que tiene las piernas o canillas largas",""
"canoa","especie de artesa o cajón de forma oblonga que sirve para dar de comer a los animales, también tiene otros usos",""
"cansón","dicho de una persona o cosa, molesta, insistente, fastidiosa",""
"cantaleta","repetición frecuente de un tema o asunto que resulta molesto para el oyente",""
"cantaletear","repetir de manera persistente una reprimenda, un consejo, una objeción, un reclamo",""
"cantaletoso","persona que cantaletea frecuentemente",""
"cantar la tabla","regañar, reprender severamente",""
"cantina","recipiente metálico, de forma cilíndrica, para transportar leche u otro líquido",""
"canturrón","cera prieta y dura que labran las abejas criollas",""
"capacho","caparazón, cascarón, concha",""
"capador","instrumento musical a modo de caramillo",""
"capamicos","tunante, pícaro, hábil por sus mañas y resabios","más vale un capamicos que un bobo"
"capar","faltar a clase los estudiantes",""
"capaz","pez de río, muy apreciado por su carne, carente de escamas y que se da en las cuencas del magdalena y el orinoco",""
"capear","llamar de lejos con la mano a una persona",""
